"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","datakairos.unif.fr/192.33.182.243","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE9TCCA92gAwIBAgISA3glGZjMUEgeHkRncWEwokP5MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjQxMTA5MTE1OTMwWhcNMjUwMjA3MTE1OTI5WjAdMRswGQYDVQQDExJkYXRha2Fpcm9zLnVuaWYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCWZH/7cdD/Tvk33rWYeubScseNIpLBfabMus8fl55J9LKgkuVaAsmfReIcd9niKU74N5t02BP6pipowwJ8HObsM5aeZ2uuWkNsot8hLLirxOSrCk+YffTBOu1eFiZ8Tlwfy3zwvzCqGFSVezZKWNNOKgIfnJ1LOq/KxPTOBqFM3ix7rckdopAE5qVNP9auGQRWs3G2f6wpZyWx/OoN7IMpd9Xy/aZWlLuUT+3CJiVFouR9ee4LfFzXb7GbIYreOmnVWRgXiTQV9F/7h/4jDo3eCl+URnWCU41GfwGkjzuYKgTBjLHeqmKvsrGTT6FUH55GIU81WvI5vvkSnaEzMnOhAgMBAAGjggIXMIICEzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFAZurrSjT4kHcaH1ZTWDc3xVT0p8MB8GA1UdIwQYMBaAFLu8w0el5LypxsOkcgwQjaI14cjoMFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMC5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMC5pLmxlbmNyLm9yZy8wHQYDVR0RBBYwFIISZGF0YWthaXJvcy51bmlmLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHcA5tIxY0B3jMEQQQbXcbnOwdJA9paEhvu6hzId/R43jlAAAAGTEQC7fgAABAMASDBGAiEAih1sw0ybqSnnooakSFhD4we4Aqmp0hZwBqE59PJ7ZvsCIQC2iWJ8u/log+LSfak1zWlPPril5Ziwi1cYZQdV1ifT+AB2AM8RVu7VLnyv84db2Wkum+kacWdKsBfsrAHSW3fOzDsIAAABkxEAu7sAAAQDAEcwRQIhAJwQoYsF9S3A3+OpRJhRicsZ3hX4NH04HvqmkciDFB8VAiAcwgipZHMCz+xctm/oxNrseshzzIpxCzrR2rmcHSYgtTANBgkqhkiG9w0BAQsFAAOCAQEAxSNcuwlPJZoTypZGhmj1FVE9KMDGp8TK6HRVnxLk5F6c+QmdGFd130t8sX7EJULDc4mLmfnFsZ1RI3ohxbnLeINsKbmUA2AFG8JkgD+6ls/bvwbd+Tig4DlDVuUVtvRVJvXNaLg+C5kAHvFHAI+LHN/3q2cLJ0tCPrej62Y2WNjGWtu0254RxHJwkKROMz1axdewwrGqcQzC4xbCyMSmoof9MUb/UWiXt6AbTBQFGKq9t7nMDAxSk6oxY6259CKdQSbbU8vA64MRSb/iulu2SncqqdQRHW9BhDJRYGJDae+WpHaPULM2TelTpvER5bfixAtL/xbtErGdZU/zQo+0eg==\n-----END CERTIFICATE-----","",""
"cert_commonName","datakairos.unif.fr/192.33.182.243","443","OK","datakairos.unif.fr","",""
"cert_commonName_wo_SNI","datakairos.unif.fr/192.33.182.243","443","INFO","datakairos.unif.fr","",""
"cert_subjectAltName","datakairos.unif.fr/192.33.182.243","443","INFO","datakairos.unif.fr","",""
"cert_trust","datakairos.unif.fr/192.33.182.243","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","datakairos.unif.fr/192.33.182.243","443","OK","passed.","",""
"cert_certificatePolicies_EV","datakairos.unif.fr/192.33.182.243","443","INFO","no","",""
"cert_expirationStatus","datakairos.unif.fr/192.33.182.243","443","OK","61 >= 30 days","",""
"cert_notBefore","datakairos.unif.fr/192.33.182.243","443","INFO","2024-11-09 11:59","",""
"cert_notAfter","datakairos.unif.fr/192.33.182.243","443","OK","2025-02-07 11:59","",""
