"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.univ-paris13.fr/81.194.43.212","443","INFO","-----BEGIN CERTIFICATE-----\nMIIG5jCCBc6gAwIBAgIRAN9MIL6735lnEOD0OsSQImcwDQYJKoZIhvcNAQELBQAwgZUxCzAJBgNVBAYTAkdCMRswGQYDVQQIExJHcmVhdGVyIE1hbmNoZXN0ZXIxEDAOBgNVBAcTB1NhbGZvcmQxGDAWBgNVBAoTD1NlY3RpZ28gTGltaXRlZDE9MDsGA1UEAxM0U2VjdGlnbyBSU0EgT3JnYW5pemF0aW9uIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBDQTAeFw0yMzA5MTMwMDAwMDBaFw0yNDA5MTIyMzU5NTlaMG4xCzAJBgNVBAYTAkZSMRcwFQYDVQQIDA7DjmxlLWRlLUZyYW5jZTEqMCgGA1UECgwhVW5pdmVyc2l0w6kgUGFyaXMgWElJSSBQYXJpcy1Ob3JkMRowGAYDVQQDDBEqLnVuaXYtcGFyaXMxMy5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALawcjSpUTGXQrBa9M8xbs6L3X4u0dz7CntveFHl9qC8DqwXr085iVfqimWu7q7QEI2A6+qu4Z0DE0tQWR2x5RpYjA5rxAsYLWIjLmOQ9zi8EdxtRox7LJ03ojBJz9NVb9bszDfKMa84spDAg7+7iU7WWqT5Eaw3sCuztNgK1XlgA/Wb2AQH68z5GuEjYmYlJRhaU9Oy3mGTcjza0GauxiiKu0XGL89twTnHsrxEBIMabU7aXRWuLp3beCL1I4xZQhxhb98hSnZ4ZwlUICXwNtSY5J1d/znRaG+k2R5YzGB5zylws4J7E0a5bW93wJluQtIpvWPNepFsqpGp4KYcPJUCAwEAAaOCA1UwggNRMB8GA1UdIwQYMBaAFBfZ1iUnZ/kxwklD2TA2RIxsqU/rMB0GA1UdDgQWBBTL4J290U7wvqCtH1ngYEzeKedY+DAOBgNVHQ8BAf8EBAMCBaAwDAYDVR0TAQH/BAIwADAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwSgYDVR0gBEMwQTA1BgwrBgEEAbIxAQIBAwQwJTAjBggrBgEFBQcCARYXaHR0cHM6Ly9zZWN0aWdvLmNvbS9DUFMwCAYGZ4EMAQICMFoGA1UdHwRTMFEwT6BNoEuGSWh0dHA6Ly9jcmwuc2VjdGlnby5jb20vU2VjdGlnb1JTQU9yZ2FuaXphdGlvblZhbGlkYXRpb25TZWN1cmVTZXJ2ZXJDQS5jcmwwgYoGCCsGAQUFBwEBBH4wfDBVBggrBgEFBQcwAoZJaHR0cDovL2NydC5zZWN0aWdvLmNvbS9TZWN0aWdvUlNBT3JnYW5pemF0aW9uVmFsaWRhdGlvblNlY3VyZVNlcnZlckNBLmNydDAjBggrBgEFBQcwAYYXaHR0cDovL29jc3Auc2VjdGlnby5jb20wHAYDVR0RBBUwE4IRKi51bml2LXBhcmlzMTMuZnIwggF9BgorBgEEAdZ5AgQCBIIBbQSCAWkBZwB1AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABio43DzEAAAQDAEYwRAIgRzYzwo3r4sHOuIVQADKBf4IekEZwKWRJ7kffXlRsLd8CIDcynZ7z0Km9zav8ywGZKemW+2fueDDOqUJIwjDkRXmNAHUA2ra/az+1tiKfm8K7XGvocJFxbLtRhIU0vaQ9MEjX+6sAAAGKjjcPhQAABAMARjBEAiBDlb3OPDNaTGqPQldoayezEi60YeHzNkl9OurCEPc4ogIgWrUAlusFtPPDt/4vhFUlBb/bgsvKhlVdXXzwQOEs8WEAdwDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYqONw9RAAAEAwBIMEYCIQD2zRJJtTVIAK0J99dnhlLSIYvgRxL6sJhKn+yT2vlTnAIhANioM8v9VgCoCNDLC0Gh8JBuKmrnH/mH087TUV/JWcriMA0GCSqGSIb3DQEBCwUAA4IBAQBS0SmHOHP57S6+g5OUb+Zt8l5ikk++bJMSev7b8y7k6XKiMmQESc0M8ra+FgGXiT8dbI6vQGKB3JomsseWDFmlgTkoNBMbIESxXqYUuIGusvV1SkomeWkTHUO1vuhyISEZaZnw6RBxHfQr0cPAHlUVQdpl38pdq3s85bdZtUZzq2CcIa20MkUSvCCBYyz+sgyQFtX3w/W3SllRaazbXameuOzeLK5hdsPKhCdiCJ5PXuVuD7bW3xFe6KuUt2xQdlu8NtT+JTwSj2sl9bDBDs2m2XJtNU7kYDaYlCQElzcx4gGGyucmJED8Rxpk1e+CBq5nc8Fkm+y8sGxnCIg4QuUe\n-----END CERTIFICATE-----","",""
"cert_commonName","www.univ-paris13.fr/81.194.43.212","443","OK","*.univ-paris13.fr","",""
"cert_commonName_wo_SNI","www.univ-paris13.fr/81.194.43.212","443","INFO","horizon.univ-paris13.fr","",""
"cert_subjectAltName","www.univ-paris13.fr/81.194.43.212","443","INFO","*.univ-paris13.fr","",""
"cert_trust","www.univ-paris13.fr/81.194.43.212","443","OK","Ok via SAN wildcard and CN wildcard (SNI mandatory)","",""
"cert_trust_wildcard","www.univ-paris13.fr/81.194.43.212","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","www.univ-paris13.fr/81.194.43.212","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.univ-paris13.fr/81.194.43.212","443","INFO","no","",""
"cert_expirationStatus","www.univ-paris13.fr/81.194.43.212","443","OK","123 >= 60 days","",""
"cert_notBefore","www.univ-paris13.fr/81.194.43.212","443","INFO","2023-09-13 00:00","",""
